4.2,4.13,3.98,3.72,3.37,2.9,2.42,1.99,1.78,1.56,1.54,1.46
4.28,4.22,4.1,3.89,3.38,2.89,2.33,1.92,1.62,1.48,1.42,1.41
4.37,4.38,4.34,4.13,3.62,2.93,2.25,1.63,1.39,1.34,1.34,1.36
4.48,4.59,4.71,4.76,4.09,3.16,2.07,1.19,1.01,1.15,1.25,1.3
4.54,4.74,5.19,4.93,4.44,3.14,1.74,1.03,0.53,1,1.19,1.25
4.54,4.65,4.94,5.34,4.44,3.22,2.04,0.67,0.69,1.05,1.21,1.29
4.47,4.52,4.57,4.48,3.93,3.1,2.14,1.51,1.28,1.26,1.31,1.33
4.39,4.39,4.29,4.1,3.65,3.04,2.36,1.89,1.59,1.47,1.43,1.42
4.33,4.26,4.13,3.89,3.48,2.99,2.39,1.99,1.72,1.58,1.51,1.48
4.29,4.2,4.04,3.78,3.42,2.91,2.52,2.13,1.83,1.67,0,1.51
